Passo			Energia

0			131.249237
1			131.249237
2			131.249237
3			131.249237
4			131.249237
5			131.249237
6			131.249237
7			131.249237
8			131.249237
9			131.249237
10			131.249237
11			131.249237
12			131.249237
13			131.249237
14			131.249237
15			131.249237
16			131.249237
17			131.249237
18			131.249237
19			131.249237
20			131.249237
21			131.249237
22			131.249237
23			131.249237
24			131.249237
25			131.249237
26			131.249237
27			131.249237
28			131.249237
29			131.249237
30			131.249237
31			131.249237
32			131.249237
33			131.249237
34			131.249237
35			131.249237
36			131.249237
37			131.249237
38			131.249237
39			131.249237
40			131.249237
41			131.249237
42			131.249237
43			131.249237
44			131.249237
45			131.249237
46			131.249237
47			131.249237
48			131.249237
49			131.249237
50			131.249237
51			131.249237
52			131.249237
53			131.249237
54			131.249237
55			131.249237
56			131.249237
57			131.249237
58			131.249237
59			131.249237
60			131.249237
61			131.249237
62			131.249237
63			131.249237
64			131.249237
65			131.249237
66			131.249237
67			131.249237
68			131.249237
69			131.249237
70			131.249237
71			131.249237
72			131.249237
73			131.249237
74			131.249237
75			131.249237
76			131.249237
77			131.249237
78			131.249237
79			131.249237
80			131.249237
81			131.249237
82			131.249237
83			131.249237
84			131.249237
85			131.249237
86			131.249237
87			131.249237
88			131.249237
89			131.249237
90			131.249237
91			131.249237
92			131.249237
93			131.249237
94			131.249237
95			131.249237
96			131.249237
97			131.249237
98			131.249237
99			131.249237
100			131.249237
101			131.249237
102			131.249237
103			131.249237
104			131.249237
105			131.249237
106			131.249237
107			131.249237
108			131.249237
109			131.249237
110			131.249237
111			131.249237
112			131.249237
113			131.249237
114			131.249237
115			131.249237
116			131.249237
117			131.249237
118			131.249237
119			131.249237
120			131.249237
121			131.249237
122			131.249237
123			131.249237
124			131.249237
125			131.249237
126			131.249237
127			131.249237
128			131.249237
129			131.249237
130			131.249237
131			131.249237
132			131.249237
133			131.249237
134			131.249237
135			131.249237
136			131.249237
137			131.249237
138			131.249237
139			131.249237
140			131.249237
141			131.249237
142			131.249237
143			131.249237
144			131.249237
145			131.249237
146			131.249237
147			131.249237
148			131.249237
149			131.249237
150			131.249237
151			131.249237
152			131.249237
153			131.249237
154			131.249237
155			131.249237
156			131.249237
157			131.249237
158			131.249237
159			131.249237
160			131.249237
161			131.249237
162			131.249237
163			131.249237
164			131.249237
165			131.249237
166			131.249237
167			131.249237
168			131.249237
169			131.249237
170			131.249237
171			131.249237
172			131.249237
173			131.249237
174			131.249237
175			131.249237
176			131.249237
177			131.249237
178			131.249237
179			131.249237
180			131.249237
181			131.249237
182			131.249237
183			131.249237
184			131.249237
185			131.249237
186			131.249237
187			131.249237
188			131.249237
189			131.249237
190			131.249237
191			131.249237
192			131.249237
193			131.249237
194			131.249237
195			131.249237
196			131.249237
197			131.249237
198			131.249237
199			131.249237
200			131.249237
201			131.249237
202			131.249237
203			131.249237
204			131.249237
205			131.249237
206			131.249237
207			131.249237
208			131.249237
209			131.249237
210			131.249237
211			131.249237
212			131.249237
213			131.249237
214			131.249237
215			131.249237
216			131.249237
217			131.249237
218			131.249237
219			131.249237
220			131.249237
221			131.249237
222			131.249237
223			131.249237
224			131.249237
225			131.249237
226			131.249237
227			131.249237
228			131.249237
229			131.249237
230			131.249237
231			131.249237
232			131.249237
233			131.249237
234			131.249237
235			131.249237
236			131.249237
237			131.249237
238			131.249237
239			131.249237
240			131.249237
241			131.249237
242			131.249237
243			131.249237
244			131.249237
245			131.249237
246			131.249237
247			131.249237
248			131.249237
249			131.249237
250			131.249237
251			131.249237
252			131.249237
253			131.249237
254			131.249237
255			131.249237
256			131.249237
257			131.249237
258			131.249237
259			131.249237
260			131.249237
261			131.249237
262			131.249237
263			131.249237
264			131.249237
265			131.249237
266			131.249237
267			131.249237
268			131.249237
269			131.249237
270			131.249237
271			131.249237
272			131.249237
273			131.249237
274			131.249237
275			131.249237
276			131.249237
277			131.249237
278			131.249237
279			131.249237
280			131.249237
281			131.249237
282			131.249237
283			131.249237
284			131.249237
285			131.249237
286			131.249237
287			131.249237
288			131.249237
289			131.249237
290			131.249237
