
0.007369	0.074641	1.001868 
0.009463	0.078160	1.002291 
0.012139	0.079855	1.002877 
0.032690	0.082043	1.007540 
0.046651	0.083016	1.010634 
0.056216	0.083440	1.012749 
0.199437	0.084859	1.044474 
0.340672	0.086238	1.074755 
0.485995	0.086281	1.106590 
0.509127	0.086574	1.111285 
0.519206	0.087348	1.112483 
0.576692	0.089706	1.121654 
0.712957	0.091004	1.148254 
0.850724	0.091078	1.176758 
1.038892	0.091801	1.214153 
1.223264	0.091856	1.252009 
1.371388	0.091874	1.282469 
1.504995	0.093457	1.304737 
1.637283	0.095480	1.324498 
1.762775	0.096904	1.344237 
1.768241	0.097398	1.343551 
1.787809	0.097868	1.345686 
1.797924	0.098886	1.344064 
1.798158	0.099794	1.340977 
1.936684	0.101412	1.361386 
2.120441	0.102487	1.391524 
2.250352	0.103482	1.411518 
2.394354	0.103629	1.437227 
2.402436	0.105149	1.432362 
2.410932	0.106318	1.429123 
2.412285	0.106524	1.428531 
2.552938	0.106544	1.453432 
2.670571	0.107173	1.471540 
2.677560	0.107669	1.470598 
2.794355	0.107685	1.491053 
2.827513	0.110172	1.485661 
2.834601	0.111119	1.482733 
2.948592	0.113252	1.492684 
2.981644	0.113932	1.495234 
3.016527	0.114374	1.499094 
3.135842	0.114485	1.518332 
3.266886	0.115569	1.534926 
3.378008	0.117083	1.545968 
3.439899	0.117955	1.551862 
3.453144	0.118475	1.551554 
3.558861	0.118530	1.568178 
3.673209	0.118979	1.584219 
3.763869	0.119051	1.598276 
3.871502	0.119752	1.611786 
3.887832	0.119821	1.614009 
3.888852	0.120274	1.611860 
3.897378	0.120398	1.612567 
4.033615	0.120957	1.631049 
4.035778	0.122733	1.622253 
4.138177	0.124342	1.629785 
4.139160	0.125219	1.625524 
4.240366	0.125922	1.637238 
4.346047	0.126250	1.651423 
4.352660	0.126480	1.651232 
4.451113	0.126491	1.665900 
4.600183	0.126697	1.687083 
4.743970	0.128966	1.696096 
4.756349	0.131235	1.685842 
4.761065	0.131244	1.686477 
4.881051	0.131263	1.703678 
5.012478	0.131446	1.721615 
5.027072	0.131772	1.721925 
5.043290	0.132257	1.721598 
5.167547	0.132992	1.735294 
5.313890	0.133774	1.751695 
